AIPGENE15695	KXJ20850.1
AIPGENE15673	KXJ20874.1
AIPGENE15746	KXJ20811.1
AIPGENE15667	KXJ20865.1
AIPGENE15681	KXJ20812.1
AIPGENE15736	KXJ20829.1
AIPGENE15747	KXJ20854.1
AIPGENE15743	KXJ20869.1
AIPGENE15739	KXJ20830.1
AIPGENE15713	KXJ20839.1
AIPGENE15735	KXJ20833.1
AIPGENE15703	KXJ20868.1
AIPGENE15711	KXJ20809.1
AIPGENE15709	KXJ20864.1
AIPGENE15704	KXJ20834.1
AIPGENE15692	KXJ20844.1
AIPGENE15734	KXJ20835.1
AIPGENE15678	KXJ20815.1
AIPGENE15723	KXJ20831.1
AIPGENE15672	KXJ20856.1
AIPGENE15745	KXJ20863.1
AIPGENE15750	KXJ20846.1
AIPGENE15753	KXJ20820.1
AIPGENE15712	KXJ20866.1
AIPGENE15690	KXJ20805.1
AIPGENE15696	KXJ20821.1
AIPGENE15676	KXJ20859.1
AIPGENE15742	KXJ20857.1
AIPGENE15751	KXJ20813.1
AIPGENE15722	KXJ20822.1
AIPGENE15680	KXJ20810.1
AIPGENE15741	KXJ20837.1
AIPGENE15754	KXJ20808.1
AIPGENE15714	KXJ20875.1
AIPGENE15718	KXJ20814.1
AIPGENE15708	KXJ20843.1
AIPGENE15744	KXJ20867.1
AIPGENE15675	KXJ20861.1
AIPGENE15670	KXJ20828.1
AIPGENE15679	KXJ20851.1
AIPGENE15737	KXJ20855.1
AIPGENE15752	KXJ20838.1
AIPGENE15671	KXJ20858.1
AIPGENE15724	KXJ20853.1
AIPGENE15694	KXJ20872.1
AIPGENE15682	KXJ20870.1
AIPGENE15684	KXJ20862.1
AIPGENE15697	KXJ20836.1
AIPGENE15732	KXJ20825.1
AIPGENE15674	KXJ20878.1
AIPGENE15740	KXJ20827.1
AIPGENE15719	KXJ20848.1
AIPGENE15738	KXJ20842.1
AIPGENE15749	KXJ20849.1
AIPGENE15685	KXJ20840.1
AIPGENE15717	KXJ20876.1
AIPGENE15700	KXJ20824.1
AIPGENE15688	KXJ20803.1
AIPGENE15666	KXJ20852.1
AIPGENE15710	KXJ20818.1
AIPGENE28851	KXJ06289.1
AIPGENE28850	KXJ06290.1
AIPGENE26521	KXJ06288.1
AIPGENE20618	KXJ06286.1
AIPGENE20619	KXJ06287.1
AIPGENE4851	KXJ06285.1
AIPGENE4850	KXJ06284.1
AIPGENE4852	KXJ06283.1
AIPGENE24338	KXJ06282.1
AIPGENE27713	KXJ06281.1
AIPGENE27712	KXJ06280.1
AIPGENE20086	KXJ06278.1
AIPGENE20085	KXJ06279.1
AIPGENE16010	KXJ06277.1
AIPGENE392	KXJ20799.1
AIPGENE390	KXJ20779.1
AIPGENE414	KXJ20801.1
AIPGENE409	KXJ20774.1
AIPGENE424	KXJ20792.1
AIPGENE403	KXJ20791.1
AIPGENE384	KXJ20778.1
AIPGENE398	KXJ20776.1
AIPGENE388	KXJ20783.1
AIPGENE387	KXJ20787.1
AIPGENE415	KXJ20786.1
AIPGENE417	KXJ20789.1
AIPGENE400	KXJ20781.1
AIPGENE394	KXJ20770.1
AIPGENE383	KXJ20785.1
AIPGENE412	KXJ20771.1
AIPGENE406	KXJ20796.1
AIPGENE407	KXJ20775.1
AIPGENE404	KXJ20795.1
AIPGENE391	KXJ20797.1
AIPGENE421	KXJ20773.1
AIPGENE416	KXJ20769.1
AIPGENE393	KXJ20793.1
AIPGENE395	KXJ20768.1
AIPGENE401	KXJ20772.1
AIPGENE402	KXJ20777.1
AIPGENE413	KXJ20790.1
AIPGENE411	KXJ20784.1
AIPGENE397	KXJ20780.1
